"Categoría,Alimento,Porción,Hidratos de Carbono (grs)"
"Pan y Galletitas,Galletitas de agua común o diet, chica,1 unidad,2.5"
"Pan y Galletitas,Galletitas de agua mediana,1 unidad,4.5"
"Pan y Galletitas,Galletas de salvado o de agua grandes,1 unidad,5.5"
"Pan y Galletitas,Galletita marinera chica,1 unidad,2.6"
"Pan y Galletitas,Galletita dulce chica,1 unidad,4"
"Pan y Galletitas,Galletita dulce doble con relleno,1 unidad,10"
"Pan y Galletitas,Galleta Tosti de arroz,2 unidades,7.8"
"Pan y Galletitas,Pan lactal tradicional,2 rebanadas,26.5"
"Pan y Galletitas,Pan lactal integral,2 rebanadas,25.5"
"Pan y Galletitas,Pan francés,1 miñón,18"
"Pan y Galletitas,Pancheta de salvado,1 unidad,19"
"Pan y Galletitas,Pan árabe,1 unidad,24"
"Pan y Galletitas,Pan de panchos,1 unidad,31"
"Pan y Galletitas,Sandwich de miga de jamón y queso,1 unidad,19"
"Otros Alimentos,Gaseosa común,1 vaso grande 200 cc,20"
"Otros Alimentos,Gaseosa diet,1 vaso grande,0"
"Otros Alimentos,Alfajor de dulce de leche y chocolate,1 unidad 40 gr,26"
"Otros Alimentos,Alfajor SER,1 unidad de 48 gr,31.8"
"Otros Alimentos,Ananá en lata diet,2 unidades,1.2"
"Otros Alimentos,Barra biscuit,2 unidades (30 gr),26"
"Otros Alimentos,Budín inglés,2 rebanadas (60 gr),34"
"Otros Alimentos,Chizitos Kellogs,1 taza (30 gr),16.5"
"Otros Alimentos,Chocolate de taza,1 jarrito (25 gr),15"
"Otros Alimentos,Cono de vainilla,1 unidad (115 gr),30.2"
"Otros Alimentos,Durazno en lata diet,2 mitades (150 gr),7.5"
"Otros Alimentos,Factura,1 unidad con dulce de leche,18"
"Otros Alimentos,Flan casero,1 compotera,25"
"Otros Alimentos,Flan Royal chocolate diet,1 compotera,9.9"
"Otros Alimentos,Flan Royal diet de vainilla,1 compotera,10.32"
"Otros Alimentos,Frutillas frescas,10 unidades (150 gr),18"
"Otros Alimentos,Helado de agua,1 palito,19"
"Otros Alimentos,Helado de crema,2 bochas chicas (100 gr),20/22"
"Otros Alimentos,Medialuna de grasa,1 unidad (30 gr),14"
"Otros Alimentos,Medialuna de manteca,1 unidad (40 gr),22"
"Otros Alimentos,Merengue,2 cucharadas chicas o 4 tapitas,3"
"Otros Alimentos,Miel,1 cucharada de té (10 gr),6.5"
"Otros Alimentos,Nueces,5 unidades,7.5"
"Otros Alimentos,Panqueque,25 gr,7"
"Cereales y Legumbres,Arroz blanco,1 pocillo de café en seco (70 gr),50"
"Cereales y Legumbres,Ravioles,1 plato (200 gr aprox.),60"
"Cereales y Legumbres,Fideos,1 plato playo (200 gr),50"
"Cereales y Legumbres,Masa de tarta,1 porción dos tapas (40 gr),18"
"Cereales y Legumbres,Masa de empanadas,1 unidad,13.5"
"Cereales y Legumbres,Pizza de piedra,1 porción (50 gr),22.5"
"Cereales y Legumbres,Pizza común,2 porciones (100 gr),47"
"Cereales y Legumbres,Polenta,1/2 plato playo (150 gr cocida),38"
"Cereales y Legumbres,Lentejas, porotos, garbanzos,1/2 plato playo,28"
"Cereales y Legumbres,Milanesa de soja,1 unidad (75 gr),23"
"Frutas,Fruta: melón, sandía,4 cubos (100 gr),7"
"Frutas,Fruta chica: mandarina, kiwi, durazno,1 unidad (100-120 gr),10"
"Frutas,Fruta mediana: pera, manzana, naranja,1 unidad (200 gr),20"
"Frutas,Fruta grande: manzana,1 unidad (250 gr),25"
"Frutas,Banana, uva, higo,1 unidad chica (90 - 100 gr o 12 uvas),24"
"Vegetales,Verduras crudas: lechuga, apio, berro, repollo, radicheta, etc.,1 plato hondo,3.5"
"Vegetales,Verduras cocidas: zapallitos, acelga, brócoli, coliflor, chauchas, etc,1 taza cocidos,10"
"Vegetales,Tomate,1 unidad mediana de 150 a 200 gr,8"
"Vegetales,Otras verduras: calabaza, zanahoria, remolacha, cebolla, etc,1 taza cocidos,14"
"Vegetales,Vegetales amiláceos: papa, batata, choclo, mandioca,1 unidad chica (100 gr),20"
"Vegetales,Sopa instantánea de choclo,1 sobre 18 gr,13"
"Lácteos,Leche entera o descremada,1 taza 200 cc,10"
"Lácteos,Yogur descremado con cereales,1 pote 200 gr,22"
"Lácteos,Yogur descremado con frutas,1 pote,18"
"Lácteos,Yogur descremado saborizado,1 pote,10"
"Lácteos,Yogur SER descremado,1 pote,5.7"
"Lácteos,Postre SER de chocolate,1 pote (160 gr),15.7"
"Lácteos,Postre SER de vainilla,1 pote (160 gr),13.6"
"Mermeladas y Dulces,Mermelada diet Canale o Arcor,1 cucharada de té (10 gr),3"
"Mermeladas y Dulces,Dulce de batata común,1 porción (casette),36"
"Mermeladas y Dulces,Dulce de batata diet,1 porción (casette),25.2"
"Mermeladas y Dulces,Dulce de membrillo común,1 porción,52"
"Mermeladas y Dulces,Dulce de membrillo diet,1 porción,18"